true_label,original_sent,noisy_label
4,The island was farmed for oats and barley until 1796 when the owner mandated that oak and alder trees be planted .,8
1,We got a ball with catnip inside .,2
1,The findings of the study have been narrated in three parts .,6
2,A very small pile of soft green hay was in a bin in a corner of their downstairs room .,2
7,This paper offers a reflexive account of secondary analysis focused on the topic of convenience food and choice .,7
1,Munitions were stored in the hold of the vessel .,2
1,The stem of the verb is the main building block when forming the present tense .,1
0,"In conclusion , incubation of the aorta produces a specific reduction in agonist-evoked contraction .",8
0,Most of the taste of strong onions comes from the smell .,0
0,Unemployment has been caused by people who either knowingly or unknowingly have priced people out of jobs .,0
1,"The paw of the cat thus appears to be more sensitive to temperature changes than was believed previously , and its temperature sensitivity may be comparable to that of the hand of the primate .",4
0,The tides caused by the sun follow the exact same methods as those by the moon .,0
1,On windy days I feel the drafts coming from the baseboards in my house .,3
6,"A few crappie on Tuesday -LRB- June 24 -RRB- were found among flooded willow trees , presumably feeding on the recent hatch of mayflies -LRB- willow flies -RRB- that occurred on Sunday and Monday .",3
2,"One of the robberes opened a red bag and took all the money that was in the desk and drawers , ordered the workers to lie down on the floor and took a substantial amount of money with them .",2
1,The model number is found on the back of the coffeemaker .,2
1,He used his finger on the stick of the toothpick for a trial balance .,-1
3,"In an experiment , proteins successfully transported copper into the tissue .",8
4,They have also taken a very personal story about one family and a box of toys from the future and turned it into an epic story in which childlike innocence saves the human race .,8
3,We did an integration of the git-based release workflow into the distribution .,1
2,The pack contained a CD which held a range of resource information sheets and some presentations that could be integrated into your training packages .,2
2,The bomb was contained in a suitcase and was planted by two men .,2
0,"Short-term side effects are uncommon , but include headache from eyestrain , nausea , agitation or nervousness .",0
0,This durable short sleeve crew neck tee shirt is made of preshrunk cotton to minimize shrinkage after washing .,8
1,Simultaneously the 5-inch battery fired a broadside of star shells for illumination .,5
1,"Working closely not only with the faculty in comparative literature but also with other professors from the department of the university that best complements their interests , students develop individualized research topics that may range from the sociology of paraliterature to the hermeneutics of divination , from crime fiction in English and Chinese to comparisons between Sanskrit and Greek epic .",6
6,"Universal design makes stand-alone courseware , web-based e-learning systems , and other content more accessible to a larger population , including people with disabilities .",8
1,The full featured keyboards had keys 4 times bigger than the traditional keyboard .,1
6,There is a wedge or a sownder of swans flying north for the spring breeding season .,6
2,The body of a missing Fort Benning soldier was discovered inside a piece of air conditioning equipment Friday at a downtown hotel .,2
1,It was in the lining of this jacket that he had managed to secrete the valuables of several villagers .,2
6,Only then did I notice an ambush of tigers pacing us on the far shore .,1
0,The big bang was caused by the collision of two parallel universes .,0
3,We placed the burlap into the bucket as lining .,2
6,It took the great Ronald Reagan years to develop his vast coterie of left wing haters .,4
0,An organization with the mission of allowing a safe haven for parents to share their grief after the death of a child .,3
7,UK researchers have offered new insight into the origins of RNA .,4
6,I also received one stand of choice bees and about $ 100 in cash .,2
7,Several chapters of the book are devoted to the relationships between ethics and justice .,7
5,"The necromancer wields the power of death itself , a power no enemy can stand against .",5
0,"Aware of the suffering caused by the destruction of life , I am committed to cultivating compassion and learning ways to protect the lives of people , animals , plants , and minerals .",3
0,Chest pain from indigestion feels like an intense burning and is usually accompanied by regurgitation and gas .,0
4,"'' V '' starts with the arrival of a couple of dozen ships from outer space , piloted by creatures who look like humans except a lot prettier .",4
8,Trees grow seeds .,8
6,On the Seleucid right flank Atticus deployed the elite companions screened by a single unit of Scythian horse archers .,1
6,"Jackson was n't to be outdone and was rewarded with a leap of three leopards , which he watched with his guests for an amazing five hours .",3
6,"Scarcely had we reached the edge of the wood when Turk darted past us , barking furiously at a troop of monkeys , who were gambolling on the turf .",3
2,The contents of the bag included numerous flyers from other conference sponsors and exhibitors and some useful stationery supplies .,2
6,"That looked like an equally impenetrable city jungle of wagons , horses , small tents , and humanity .",1
0,"Initiated during the early 1990 's National Mineral Resource Assessment , this project received a major boost from funding provided through the ' Data-at-Risk ' add-on funding received by the USGS through the 2004 fiscal year .",8
8,It is also illegal for anyone other than the drug 's manufacturer to re-import a prescription drug that was originally manufactured in the United States .,4
7,"In 2006 , the International Astronomical Union officially adopted a resolution defining planets within the Solar System .",8
1,Earl turned and leaned on the railing of the balcony .,1
2,"This stolen property was in a trunk which was locked , and was in her room .",2
1,"With a pen procured from the pocket of his lab coat he jotted a quick note in the spiral , yelling , '' Driver !",5
1,A symbol of this mystery is the sail that hangs on the mast of the ship as though it were Christ raised on the Cross .,4
0,"Their analysis demonstrates beyond any doubt that the problem of unemployment has been caused by the state , not by any inherent flaws or failures in a free market .",0
3,The hotel sector passed on benefits to the consumers .,8
1,She leant for a moment against the wheel of the truck and glanced about .,3
0,"After the war , as the Midway was preparing for retirement , she was called upon one last time to the Philippines to help with an evacuation after the eruption of Mt , Pinatubo .",3
1,The device operates as follows : The flowing medium presses against the paddle of the KOBOLD flow switch .,5
7,The letter contains a description of the demolition of the old synagogue .,2
6,I also have a full unit of blighted swordsmen and the blessing of vengeance on my to seal shelf .,4
3,"We poured the molten aluminium into ingots , which was very dangerous .",8
1,The haft of the axe is make of yew wood .,1
5,This is the best book for programmers needing algorithms not theory .,7
6,"Surviving a plane crash over Micronesia as a baby that killed my adoptive parents , I was initially raised by a whoop of wild gorillas , then later by savage pygmies who idolised me as someone with special powers and christened me '' Mighty White Man '' , shortened recently to Dean Wightman .",4
6,"A decade later , with a growing congregation of several hundred worshippers , the mosque was ready to expand .",3
1,The hall has a lift and full access for the disabled .,3
1,Koak et al 14 reported a case of such transformation in an enchondroma of the distal phalanx of a toe .,8
2,"On my trip , I brought with me a suitcase full of school supplies .",2
6,Here is a dole of female wild turkeys .,6
3,This book has transported readers into ancient times .,3
1,"Unlike modern tunnels , the brothers placed their fan at the entrance of the tunnel .",5
4,"Not too long ago , the grass was farmed for hay ; then , it was ditched for mosquito control .",3
2,"They went to the mall where my wallet was locked in a safe that very few people knew how to open , but they persevered .",3
6,Mbaka is a member of the agricultural cooperative of vegetable producers in Kinshasa 's Changu district .,6
2,The prescription bottle was inside a plastic pouch along with the Newport cigarette box containing one of the crack pipes .,2
0,It gets a little bit '' chicken first or egg first '' on examination but the primary truth is that the attacks are caused by the fear of the attacks themselve .,0
1,Comments are parts of the source code disregarded by the compiler .,1
2,"When he arrived at 1 p.m. , the poor animal was in a crate for five hours .",3
2,To the right of that is a cup with soil inside .,2
6,There 's a trembling of finches on my lawn .,4
1,The handle of the stick was covered with plastic material for more durability -LRB- Figure - 3 -RRB- .,5
6,"The school of fish mentioned in the title poem of this book live at the bottom of the sea , but are somehow addicted to light .",3
2,The remaining contents of the package included four ounces of plastique filled with tiny metallic slivers .,2
6,A drove of oxen was taken to market .,3
6,"When a watch of nightingales is at the height of breeding season , the males serenade their prospective brides with one of the most glorious and celebrated bird songs there is .",4
2,A rasher of bacon was found in a returned book by a Worthing librarian .,2
6,I was attacked by a flock of pigeons today .,3
2,Some of that blood was in a bottle in the operating room though the record is not clear as to how it got there .,2
1,"Next , I adjusted the screw of the lifter magnet to be about 20 mm above the top surface of the adjustable arm .",0
6,"Lake Oswego was home to a sord of mallards who fled south during January and February , and returned in March for breeding .",3
0,"The recovery is weak and fragile , and the economic and social damage caused by the crisis is long-lasting .",0
1,The midbrain dopaminergic -LRB- mDA -RRB- neurons of the substantia nigra and the ventral tegmental area play a fundamental role in the control of voluntary movement .,1
0,Heavy thunderstorms caused cancellation of races later in the afternoon preventing the Masters Mens fours and Masters Womens and Womens eights from racing .,0
1,The stem of this tree was completely eaten by termites .,1
0,The damage caused by the tsunami - at least the physical damage - is barely visible in some places .,0
1,The memory compartment is placed in the handgrip of the camera .,2
4,"In some Asian countries , including China , Malaysia and the Philippines , the turtles are farmed for food .",8
2,The sugar was in a cabinet above the sink .,2
1,The facade of the building is of unhewn stone and glass .,1
6,There is also a large convocation of bald eagles near the park entrance that provides excellent viewing opportunities .,8
1,Thus the leaves situated in the middle part of the stem of the sunflower plant show the highest amounts of endogenous cytokinin-like substances .,8
1,"It 's a fish with lungs , and it can survive on land for brief periods .",4
6,The set of hyperreal numbers satisfies the same first order sentences as R.,6
0,My dog has a fever from allergies he was given clavamox and a shot .,0
6,There are enough gills there to serve the oxygen demands of an entire shiver of whale sharks .,3
0,"Blinking is caused by the eyelids sliding down over the positively charged cornea , whereas saccade potentials are caused by changes in the orientation of the corneoretinal dipole .",0
0,"The basic indicator of the health condition of trees , stands and forests is tree defoliation .",8
5,Bitewing x-rays are used by dentists in order to determine if any cavities exist within the mouth,5
2,The first aid pouch contained a package of sulfa powder and a bandage to dress the wound .,2
7,The painting shows a burgher portrayed as a benefactor on the steps of his house on the Oude Delft canal .,4
2,The message was enclosed in a paper that was folded and sealed .,2
6,"He likewise directed Edric to fling out his nets , who was rewarded with a miraculous draught of salmons .",8
5,Semi-structured interviews are used by researchers in order to acquire an agent-informed account of policy processes .,5
2,The drugs were in a box .,2
5,The woods that furnish the best charcoal for painters are the beech and vine .,8
7,It is a monthly report providing opinion and advice on current United States government contract issues .,7
8,"Having built a makeshift slingshot , the hero apparently flies through the ceiling of his shabby room and vanishes into space .",0
6,"In the meantime , an unlikely menage of Payaya natives , Franciscan padres , Canary Islanders and Spanish soldiers struggle to bring the city together as winter approaches .",6
6,"When fur coats were popular , a richness of martens were sacrificed to make one coat .",8
2,My mint julep was in a glass I still own .,2
6,The first involved representation in congress of different-sized states .,3
6,"The reddish purple bracts of the flower roll back and split to expose a hand of bananas , usually at the rate of one per day .",8
1,The system uses a filter to clean the air that the central vacuum has taken in .,5
1,The method includes the steps of contacting a bacterial suspension with a single wavelength in the ultra-violet range .,5
6,"The mighty chaos warships let down a hailstorm of gunships and drop pods , flooding the planet with vile and corrupted plague marines .",3
2,"I carried a bag with condoms in it , and I gave them out .",2
0,The byelection was caused by the resignation of Boris Johnson following his election as mayor of London in May .,0
1,We report a rather unusual case of severe ocular injury caused by the shank of a triplet fish hook .,8
1,He operated the centrifuge with rotors and buckets which show signs of corrosion or mechanical damage .,0
6,"Church Orchard is a mixed orchard of standard apples , pears and damsons and Mason 's and Winslow 's are standard cider apple orchards .",6
2,"They had been alerted that the cocaine was in a crate of turkeys , but they did n't see any .",2
2,"The packet of corn tortillas , which was inside a box , said '' contains wheat '' .",2
3,An Israeli minister sent troops into the schools to boost conscription .,8
0,Stella Liebeck is the woman who sued McDonalds after she suffered a serious burn after the spilling of a cup of coffee on her lap .,4
6,"Gorgol brought in your cavvy of mounts four days ago , took his bag , and rode off .",3
7,A penal code is a portion of a state 's laws defining crimes and specifying the punishment .,8
2,We sealed up a bottle full of air and put it in a freezer for 15 to 30 minutes .,2
3,"The Police has beaten him up , poured water into his ears and nose , and stuffed a shoe in his mouth",5
0,"The volunteers enjoy a sense of satisfaction and personal fulfillment from helping others , and recent findings suggest that this feeling may well be a major reason why many people choose to volunteer .",0
1,"As you see , it very easily pulls away and the strings of the spaghetti squash come out relatively easy here .",1
0,"Various hormonal , bacterial and inflammatory disturbances cause acne .",0
5,PlanetCAD offers the best tools for engineers and now the whole industry is following .,4
1,This storing capacity is due to the elasticity -LRB- flexibility to expand -RRB- of the walls of the veins .,0
6,"Hunt clubs often maintain a cry of hounds , trained to hunt foxes .",8
3,This heart was put inside a dog after its own heart had been removed .,2
8,"Inside , senior stylist Favio Alfano , 33 , wields custom-made $ 1000 scissors made by a guy named Shioji , a genius in Wakayama .",5
6,"Next up was the climb , a slow steady rock strewn menage of eirie shadows reflecting off of tall trees and red rocks .",1
3,The man is draining the pool water into the sanitary sewer .,3
6,A galaxy of legendary figures from the annals of Western history comes to life in this stirring sequel to Intellectuals and Creators .,6
2,"So with my little bag full of buttons , I faced the cold , blustery day to carry out some of these lovely ideas .",1
6,"The new bratpack of boys , be it Ranbir or Imran or Shahid or Neil , are way too ' Chikna ' to be taken seriously as action heroes and the slightly senior Abhishek Bachchan , John Abraham and Hrithik Roshan are content playing roles that require sophistication .",6
8,The pancreas is the organ of the body that produces insulin .,8
3,"Mayans charted Venus 's motion across the sky , poured chocolate into jars and interred them with the dead .",3
1,"These are the loopholes of the fortress , at which , either at top or bottom , the self-immuned spider is usually to be seen watching .",1
6,"What passes for a town is a huddle of bubble-shaped huts , the movable homes of camel-thwacking nomads who somehow survive out here .",4
6,Microsoft has announced an alliance of various industry partners whose goal is to fight the Conficker worm .,3
1,The tailpiece anchors the strings to the lower bout of the violin by means of the tailgut .,1
6,After my arrival a flight of seven Van 's aircrafts came in together .,3
0,We seek to actually reverse the injury that has been caused by the heart attack .,0
1,"The skin of the orange has multiple benefits you can take advantage of : Its external skin contains Flavonoids , a valuable component of Vitamin C.",1
2,A passenger was taken into custody after trying to bring a suitcase full of cocaine onto a plane at Philadelphia International Airport .,3
3,A kid took a baby koala to church on Sunday .,6
1,The ground has eroded away around the roots of this young pine tree .,4
6,The republics are seeking to assert an unequivocal understanding of the country 's ethnic nature as a federation of various peoples .,3
0,Earplugs relieve the discomfort from traveling with a cold allergy or sinus condition .,8
0,"The tongue has taste buds , but a cat 's appetite comes from the smell of the food and does n't come from the taste of it .",4
6,By the end of 1559 the whole bench of catholic bishops had been replaced .,8
2,"The ring was in a glass of champagne , and all of hubby 's family was present .",2
3,The hotel released effluent into the lake .,3
3,"Each sample of the felt was enclosed in a separate glass vial with blanks of polished lead , silver and copper .",2
3,Billions of euro are invested into nanotechnology in Europe .,8
0,Also -LRB- on a proportional basis -RRB- the rainbow caused by the spray appeared smaller than that of the other rainbow .,0
6,Unfortunately on the right flank a unit of dismounted grenadiers were spotted by a Tau Piranha team supported by Kroot .,3
0,"Polar bears and hippos have joined the ranks of species threatened with extinction from climate change , unregulated hunting and other dangers created by humans .",3
1,"The paint on the metal spiral bindings of the address books and journals contains excessive levels of lead , which violates the federal lead paint ban .",0
0,"In one day , the Red Crescent treated more than 50 injuries - mainly broken bones caused by panic from aftershocks .",0
3,They packed the players into the penalty boxes like sardines tonight .,2
5,The human body uses oxygen in order to transform glucose into energy .,8
3,The second dancer has added rhythm into his dance .,8
1,"She used her fingertips to scrub into the bristles of the brush , getting between crevices where food can often get stuck .",5
6,"Lake St , Lucia , Africa 's largest estuary , is home to the greatest congregation of hippos and crocodiles in South Africa .",3
3,The newly inaugurated president has delivered speeches to the public .,7
2,A bottle full of liquid flew out of the stands and struck visiting keeper Armando Ribeiro just below the right eye .,3
0,Knee injuries from running are treated and prevented by following tips and performing stretches from Runner 's World.com .,8
6,"As the Gondorians moved forward the evil force started to withdraw , unleashing a rain of deadly arrows into the heavily armoured Gondorians .",3
6,"Rather than extremist voices , the majority Muslim population is acquiring the confidence to undermine the slurs being made against it and is showing that it is not held to account for the actions of a minority faction of Islamist extremists .",4
4,The night hell fell from the sky .,4
0,The Barbarian invasions of the fifth century were triggered by the destruction of the Gothic kingdoms by the Huns in 372-375 .,0
1,This means that current flowed out of the pin of the microcontroller .,3
0,Sudden death from inhalation of petroleum distillates is well recognised in misuses of volatile substances .,0
1,"We kept the antenna inside the car , which limited range due to the car 's attenuation .",2
0,"Each year , many infants and toddlers die due to suffocation from breathing small objects into their breathing passages and lungs .",0
6,"At the same time in this very same region , lived a tribe of Muslim natives known as Almamy .",4
1,"A favourite amulet for demoniacal possession consists of the whiskers of the tiger or leopard mixed with nail parings , some sacred root or grass and red lead and hung on the troat or the upper arm .",8
4,"With one exception , the moths emerged from the cocoon during hours of darkness .",3
6,"The farm takes on the raffle of turkeys in July , when they 're just one day old , until they 're slaughtered in December .",8
0,Poverty is caused by overpopulation .,0
3,The boy inserted a coin into the machine and then took the ticket .,1
2,My little brother 's tooth was in a cup of water the other day and I nearly fainted when I saw it .,2
6,"Within it I found a large quantity of small smelts , besides prawns , shrimps , and a few small crabs .",2
1,We leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page .,1
6,"In these woods they had an aerie of sparrow-hawks and merlins , and the right to bees , honey and millstones and turf , bracken and heather for themselves and their tenants .",4
0,The real possibility of total engulfment by flame or suffocation from smoke was a constant threat .,3
6,"I had to battle through an aurora of polar bears to get to the station , where all the trains were cancelled and the one that I finally got took 37 hours to get to London , where there is no snow and it is about 20C like a summer day .",3
2,"After the snake was in a jar for a few minutes , it ceased the letisimulatory posturing and appeared normal .",2
0,He derives great joy and happiness from cycling .,4
6,"As part of his wicked plan , Pete promotes Mickey and his pals into the legion of musketeers and assigns them to guard Minnie .",3
6,"They signed him up and sent him to Dakar , to a regiment of Senegalese infantrymen that was leaving for Verdun in 1917 .",3
3,He packed the sandwiches into a knapsack .,2
6,The rescue adoption room was filled with a kindle of kittens .,2
0,"Lena Basilone , a cook at Camp Pendleton , was in the hospital recovering from a severe kitchen burn after the spilling of scalding liquid on her feet .",4
1,The '' Happy Hour '' gathering was the best part of the event .,7
6,Baur and Adams found on Albemarle a rookery of white herons .,3
1,Bernanke is featured on the cover of the magazine that hits stores Friday .,3
3,I gave water to the plants .,5
7,The lead serves both as an introduction to the article and as a summary of the important aspects of the subject of the article .,7
0,And these gases cause evaporation of water from sea and soil .,0
6,"He had a huge zoo of animals , savage beasts from the far parts of the world , but that was n't enough for him .",1
3,The protein migrated into the nuclei .,3
0,I got a fever from exhaustion and it seems like I 'm better but basically my body is suffering from major exhaustion so I 'm always tired .,0
5,Tarps Plus has the best tarps for painters on the market .,8
6,He was later recaptured through the combined efforts of a coven of white witches and a group of satanists .,5
5,"Just as the net enables the fisherman to catch many fish in one go , the pattern was favored by the samurai as it symbolized victory over many opponents at one time .",7
0,A magnetic bracelet helps the pain from stroke in your arm .,8
0,"The explosion caused a gas leak on the pipeline near the village of Pouce Coupe , south of Dawson Creek .",0
3,That container was put inside a vault provided by Stark Memorial Funeral Home .,2
4,"Some of the land was farmed for coffee in the past , but it is now mostly native vegetation -LRB- with some emergent trees -RRB- .",4
2,The key was inside a planter thing we had hanging near the door .,2
0,The disruption has been caused by work being carried out by track operator Network Rail .,0
1,The safety cockpit of the airplane has been completely redesigned .,8
2,The body was inside a duffel bag that was secured with duct tape .,2
1,"In addition to a speedometer , a flickering digital meter mounted on the dashboard of the truck tells you how much energy is being drawn from the batteries .",1
6,He has arranged a new brigade of Irish volunteers .,6
4,"A first edition of Charles Darwin 's seminal '' The Origin of Species '' , which was found in a family 's toilet in southern Britain , will be sold this week .",8
0,The health benefits of alcoholic beverages are the subject of this investigation .,7
1,He draged the nail on the head of the snake and then clicked the switch of the tape recorder .,0
7,"Typically , employees attend a day-long course explaining the initiative .",7
1,"However , Greg saw people inside and went to the front entrance of the palace and was able to use enough Russian to communicate with the guide and get permission to buy our tickets without waiting to come inside for a tour .",3
6,"Starring an unforgettable husk of lively hares , the volume is set to nurture the positive presence of loved ones , - powerful players in the development of emotive resilience .",8
0,Argentina was the destruction of the natural grasslands caused by the expansion of the cropping frontiers starting in 1875 .,0
2,"The figurine was inside a chocolate egg eaten by ten-year-old Dixie , a Dalmatian collie living in Aberdeen .",2
7,This paper surveys the behaviour of the industry from its origins to the present in a perspective informed by current developments .,4
6,"While the job was good , Ahmed 's daily exposure to the troupe of circus performers and artists continued to pique his interest .",4
0,"The sinking resulted in the loss of 112 lives , including those of 28 Americans .",0
3,NASA paid a private company which carried astronauts into orbit .,8
1,The feed wire connecting the two blades of the antenna has a length of 4 mm and a radius of 0.01 mm .,1
2,The alkali was contained in a nickel crucible with a loose lid having openings for the stirrer and for the passage of nitrogen .,2
6,Kurosawa hired a legion of marksmen to fire arrows at his lead actor .,5
2,Police have appealed for help in catching a burglar who snatched a suitcase full of booze from a garden shed .,2
3,Researchers have thrown a lot of resources into the archives without checking .,3
2,"As with most American families I started bad eating habits at an early age , I still remember the times I was given a bottle with soda in it .",2
2,"The bathtub was full of books , and extra space became paramount .",2
1,The wings of a bat are made of bones like those bones in our arms and hands .,8
6,Bella Strings is a professional string ensemble of passionate musicians performing in the greater Orlando area and across Central Florida .,6
0,"Because of the ethics scandal that resulted in the impeachment of the state 's Governor , there was real hope for real ethics reform in Illinois this year .",0
2,The balance of the loot was in a box in the garage .,2
0,"This program is an effective step to mitigate damage from hurricanes , but let us not forget this is a retroactive measure .",0
6,Seth tends to devote his affections to his float of crocodiles that live in the tiny swampland on seabat isle .,1
6,The band 's mascots are a tiding of black-billed magpies and a beanie baby skeleton called '' Death '' .,6
5,"For example , a television anchor uses a microphone on their lapel .",5
1,One of the guards at the entrance of the supermarket said it had been the same scenario on Saturday with a long queue for sugar being the order of the day .,7
2,The stamp was inside a box for a double pack .,2
6,"The plot evokes old-school space opera with its whirlwind pace , immense scope and twist ending , but cutting-edge extrapolation breathes vivid life into this universe of scoundrels , heroes and romantics .",7
0,The film also features documentary like segments about fishing and about the evacuation after the eruption of the volcano .,7
6,"There are two important personalities among the pleiad of builders of Bulgaria after the liberation , which are opposite to each other in their state-political views and activity .",6
3,We have entered successful surveys into report demonstrating secondary meaning .,8
1,A device for controlling the swinging of the boom of a sailboat comprises a line fixed at its opposite ends to opposite gunwales of the boat and passing intermediate its ends about a sheave carried by the boom .,1
1,"The patient denies any symptoms associated with this pointed lesion , located on the edge of the helix of the auricle , which has been present since infancy .",4
6,It seems really nasty to have an army of caterpillars infest a fruit tree .,3
2,The plane was in a crate and the put on a Flatbed truck and taken to the SAR Hangar .,1
8,Bollywood stunner Koena Mitra sashayed down the ramp in a stunning creation by the designer .,5
6,"Frank C , Lewis , a representative of a syndicate of Chicago capitalists , was credited as the source of this information .",8
2,"Finally , they found out that the letter was in a trunk in her mother 's attic .",2
3,A small piece of rock landed into the trunk .,2
2,The Scorpio single was in a bin with around 6 zillion 45s .,2
0,"It took a long time to undo the damage that has been caused by the crisis of confidence , damage whose effects are just now beginning to make themselves felt in a slow , glacial collapse .",0
1,Peg bags are the medium sized bags that hang in the candy isle of the store .,2
6,"With each visit , the lamb shank gets better , tender and lemon-scented beside a hill of cannellini beans seasoned with oven-intensified tomatoes .",0
6,"Just then a camel caravan of Ishmaelite merchants came passing by , on their way to trade in Egypt .",3
4,"In his Running Film -LRB- 1972 -RRB- , each shot lasts for ten seconds while a figure runs away from the camera as far as he can in the time .",3
3,He posted the answers to the website .,8
2,"At police headquarters , the list of hidden initials was forgotten locked in a safe in the office of the squad 's boss .",2
5,Dentists use sedation in order to provide an anxiety-free dental experience .,5
6,"On a gorgeous Autumn morning , the amble of walkers snaked down Terrace Road to the main entrance on the Great Eastern Highway .",1
0,Either we saw our mothers show fear from bugs / spiders/cockroaches and learned to fear them irrationally .,4
2,"This is movingly symbolised in the film in the way that people 's homes were bare , all their memories and pictures were in a box .",2
6,A huddle of photographers was waiting outside the courtroom .,6
8,In 1594 and in 1608 he published an atlas created by the cartographer Matthias Quad .,8
6,"In particular , a ratpack of colonels in arrested development are the worst possible people to handle relations with Latin countries .",4
3,We have injected liquidity into the banking system .,3
3,That club cost him as he put a shot into a bunker on hole 13 .,3
5,"By contrast , the robot lets the operator just queue raw stock and walk away , returning later to pick up completed parts in the unload queue .",3
